Company Name,Company Page URL,Engagement Level,Organic Impressions,Organic Engagements,Paid Impressions,Paid Clicks,Paid Engagements,Paid Conversions,Paid Leads,Paid Qualified Leads  
"The Premier Collection",https://www.linkedin.com/company/thepremiercollection,Very Low,,,25,,,,,  
"REDICO",https://www.linkedin.com/company/redico,Very Low,,,25,,,,,  
"TAM Residential",https://www.linkedin.com/company/tamresidential,Very Low,,,24,,,,,  
"Stotz Equipment",https://www.linkedin.com/company/stotz-equipment,High,,,24,6,6,,,  
"HII Unmanned Systems",https://www.linkedin.com/company/hii-unmanned-systems,Very Low,,,24,,,,,  
"Manufacturers Reserve Supply Inc.",https://www.linkedin.com/company/manufacturers-reserve-supply-inc,Very Low,,,24,,,,,  
"The Pokémon Company International",https://www.linkedin.com/company/pokemon,Very High,,,24,,11,,,  
"Qualitrol",https://www.linkedin.com/company/qualitrol,Very Low,,,24,,,,,  
"Anchor Packaging",https://www.linkedin.com/company/anchor-packaging,Medium,,,24,3,3,,,  
"Summit Agricultural Group",https://www.linkedin.com/company/summit-agricultural-group,High,,,23,5,6,,,  
"JTM Construction",https://www.linkedin.com/company/jtm-construction,High,,,23,4,4,,,  
"Penserra",https://www.linkedin.com/company/penserra-securities-llc,Very Low,,,23,,,,,  
"MPE Inc.",https://www.linkedin.com/company/mpeinc,High,,,23,,4,,,  
"Aetrex, Inc.",https://www.linkedin.com/company/aetrex-worldwide,Very High,,,23,5,18,,,  
"Emerge Living",https://www.linkedin.com/company/emergeliving,Very Low,,,22,,,,,  
"TCI Precision Metals",https://www.linkedin.com/company/tci-precision-metals,Very Low,,,22,,,,,  
"Fortive",https://www.linkedin.com/company/fortive,Very Low,,,21,,,,,  
"Happy Floors",https://www.linkedin.com/company/happy-floors,Very Low,,,21,,,,,  
"Evernest",https://www.linkedin.com/company/evernestpm,Medium,,,21,,3,,,  
"Solutions Pest & Lawn",https://www.linkedin.com/company/control-solutions-inc,Very Low,,,21,,,,,  
"E\&E Manufacturing Co, Inc.",https://www.linkedin.com/company/e\&e-manufacturing,Very Low,,,21,,,,,  
"Meridian Title Corporation",https://www.linkedin.com/company/meridian-title-corporation,Very Low,,,21,,,,,  
"Priority Title",https://www.linkedin.com/company/priority-title-escrow,High,,,20,3,3,,,  
"Vytex Windows",https://www.linkedin.com/company/vytexwindows,Very Low,,,20,,,,,  
"PJ Wallbank Springs, Inc.",https://www.linkedin.com/company/p-j-wallbank-springs-inc-,Very Low,,,20,,,,,  
"Peterman Brothers Heating, Cooling & Plumbing",https://www.linkedin.com/company/petermanbros,Very High,,,20,,10,,,  
"Aerofil Technology Inc.",https://www.linkedin.com/company/aerofil-technology-inc.,High,3,3,20,,,,,  
"Healthy Pet",https://www.linkedin.com/company/healthy-pet-us,Very Low,,,20,,,,,  
"Seiler Instrument & Mfg. Co. Inc.",https://www.linkedin.com/company/seilersolutions,Very Low,,,20,,,,,  
"Twin Cities PBS",https://www.linkedin.com/company/twin-cities-pbs,Very Low,,,20,,,,,  
"Intrax",https://www.linkedin.com/company/intrax,Very Low,,,20,,,,,  
"Safelite",https://www.linkedin.com/company/safelite,Very Low,,,20,,,,,  
"Erie Materials Inc",https://www.linkedin.com/company/eriematerials,High,,,19,3,4,,,  
"J Josephson Inc",https://www.linkedin.com/company/j-josephson-inc,Very Low,,,19,,,,,  
"S\&B USA Construction & Fay",https://www.linkedin.com/company/shikunusa,Very Low,,,19,,,,,  
"Valdese Weavers",https://www.linkedin.com/company/valdese-weavers,Very Low,,,19,,,,,  
"TYR Sport",https://www.linkedin.com/company/tyr-sport,Very High,,,19,3,8,,,  
"Branscome",https://www.linkedin.com/company/branscome-inc,Very Low,,,19,,,,,  
"FS Builder Resources",https://www.linkedin.com/company/flooring-services,Very Low,,,19,,,,,  
"Velir",https://www.linkedin.com/company/velir,Very Low,,,19,,,,,  
"Colgate-Palmolive",https://www.linkedin.com/company/colgate-palmolive,Very Low,,,19,,,,,  
"Play Synergy (now Aruze Gaming), an Empire Technological Group Company",https://www.linkedin.com/company/empire-technological-group-ltd,Very Low,,,18,,,,,  
"Ed Martin Nissan",https://www.linkedin.com/company/edmartinnissan,Very Low,,,18,,,,,  
"Ravensburger North America, Inc.",https://www.linkedin.com/company/ravensburger-north-america-inc,Very Low,,,18,,,,,  
"Mueller Sports Medicine, Inc.",https://www.linkedin.com/company/mueller-sports-medicine,Very Low,,,18,,,,,  
"BioCentury Inc.",https://www.linkedin.com/company/biocentury-publications,Very Low,,,18,,,,,  
"True Velocity",https://www.linkedin.com/company/truevelocityinc,Very Low,,,17,,,,,  
"Advanced Window Systems LLC",https://www.linkedin.com/company/awsllc,High,,,17,3,3,,,  
"Leonard Truck Outfitters",https://www.linkedin.com/company/leonard-buildings-and-truck-accessories,Very Low,,,17,,,,,  
"Frattalone Construction",https://www.linkedin.com/company/frattalone-construction-co,Very Low,,,17,,,,,  
"HopeHealth, Inc.",https://www.linkedin.com/company/hopehealth-inc-,Very Low,,,17,,,,,  
"Vesta Corporation",https://www.linkedin.com/company/vesta-corporation\_2,High,,,17,,3,,,  
"Visionary Homes",https://www.linkedin.com/company/visionary-homes,Very Low,,,17,,,,,  
"SERVPRO",https://www.linkedin.com/company/servpro-industries,Very Low,,,17,,,,,  
"Pep Boys",https://www.linkedin.com/company/pep-boys,Very Low,,,17,,,,,  
"Principle Services, LLC",https://www.linkedin.com/company/principle-services,Very Low,,,16,,,,,  
"Roadway Moving",https://www.linkedin.com/company/roadway-moving,High,,,16,4,5,,,  
"The Integral Group",https://www.linkedin.com/company/integral-group,High,,,16,,3,,,  
"Saratoga Group",https://www.linkedin.com/company/the-saratoga-group,High,,,16,,3,,1,  
"Estes Construction",https://www.linkedin.com/company/estes-construction,Very Low,,,16,,,,,  
"Torque Parts LLC",https://www.linkedin.com/company/torquepartsllc,Very Low,,,16,,,,,  
"Thorp Controls",https://www.linkedin.com/company/thorp-controls,Very Low,,,16,,,,,  
"CAPREIT, Inc.",https://www.linkedin.com/company/capreit-inc-,High,,,16,3,4,,,  
"Affinity Management Services, LLC",https://www.linkedin.com/company/managedbyaffinity,Very Low,,,16,,,,,  
"Epec Engineered Technologies",https://www.linkedin.com/company/epec-engineered-technologies,Very High,,,16,4,6,,,  
"TORQ Distribution",https://www.linkedin.com/company/torq-distribution,Very Low,,,16,,,,,  
"Pentair",https://www.linkedin.com/company/pentair,Very Low,,,16,,,,,  
"Pacific Lifestyle Homes",https://www.linkedin.com/company/pacific-lifestyle-homes,Very Low,,,16,,,,,  
"Suncast Corporation",https://www.linkedin.com/company/suncast-corporation,Very Low,,,16,,,,,  
"Swagelok",https://www.linkedin.com/company/swagelok,Very Low,,,16,,,,,  
"Vest Residential",https://www.linkedin.com/company/vestresidential,Very Low,,,15,,,,,  
"Adient",https://www.linkedin.com/company/adient,Very Low,,,15,,,,,  
"Enervise, LLC",https://www.linkedin.com/company/enervise,Very Low,,,15,,,,,  
"Daniel Defense, LLC",https://www.linkedin.com/company/danieldefense,Very Low,,,15,,,,,  
"Didion",https://www.linkedin.com/company/didion-inc,Very Low,,,15,,,,,  
"The Predictive Index",https://www.linkedin.com/company/the-predictive-index,Very High,1412,1373,15,,,,,  
"Anywhere Real Estate Inc.",https://www.linkedin.com/company/anywhere-real-estate-inc,Very Low,,,14,,,,,  
"Midwest Fastener Corporation",https://www.linkedin.com/company/midwest-fastener-corp,Very Low,,,14,,,,,  
"Dixie Interiors",https://www.linkedin.com/company/dixie-interiors1,High,,,14,3,3,,,  
"Preservation Management, Inc.",https://www.linkedin.com/company/preservation-management-inc-,Very Low,,,14,,,,,  
"MongoDB",https://www.linkedin.com/company/mongodbinc,Very Low,,,14,,,,,  
"R\&H Construction",https://www.linkedin.com/company/rhconstco,Very Low,,,14,,,,,  
